frame_idx,volume
1,160.0
2,164.0
3,184.0
4,142.0
5,173.0
6,167.0
7,182.0
8,169.0
9,154.0
10,189.0
11,178.0
12,192.0
13,166.0
14,157.0
15,172.0
16,174.0
17,156.0
18,166.0
19,197.0
20,166.0
21,131.0
22,146.0
23,162.0
24,167.0
25,140.0
26,158.0
27,147.0
28,158.0
29,143.0
30,154.0
31,145.0
32,152.0
33,139.0
34,157.0
35,139.0
36,151.0
37,159.0
38,152.0
39,149.0
40,140.0
41,148.0
42,144.0
43,139.0
44,149.0
45,156.0
46,173.0
47,157.0
48,150.0
49,152.0
50,170.0
51,154.0
52,152.0
53,139.0
54,149.0
55,148.0
56,138.0
57,156.0
58,150.0
59,170.0
60,149.0
61,178.0
62,152.0
63,168.0
64,158.0
65,157.0
66,155.0
67,149.0
68,140.0
69,163.0
70,158.0
71,151.0
72,150.0
73,140.0
74,148.0
75,177.0
76,150.0
77,163.0
78,136.0
79,159.0
80,160.0
81,168.0
82,171.0
83,149.0
84,188.0
85,161.0
86,185.0
87,155.0
88,160.0
89,159.0
90,146.0
91,159.0
92,160.0
93,139.0
94,130.0
95,177.0
96,152.0
97,161.0
98,166.0
99,168.0
100,168.0
101,160.0
102,159.0
103,172.0
104,175.0
105,172.0
106,148.0
107,175.0
108,166.0
109,159.0
110,163.0
111,184.0
112,166.0
113,183.0
114,162.0
115,168.0
116,153.0
117,166.0
118,160.0
119,146.0
120,158.0
121,182.0
122,150.0
123,155.0
124,147.0
125,152.0
126,136.0
127,186.0
128,168.0
129,188.0
130,159.0
131,197.0
132,172.0
133,142.0
134,155.0
135,143.0
136,163.0
137,146.0
138,159.0
139,166.0
140,135.0
141,154.0
142,122.0
143,141.0
144,144.0
145,159.0
146,160.0
147,166.0
148,139.0
149,160.0
150,186.0
151,126.0
152,139.0
153,138.0
154,154.0
155,192.0
156,169.0
157,154.0
158,146.0
159,180.0
160,173.0
161,147.0
162,144.0
163,153.0
164,161.0
165,180.0
166,151.0
167,172.0
168,144.0
169,147.0
170,174.0
171,181.0
172,166.0
173,180.0
174,183.0
175,174.0
176,155.0
177,158.0
178,198.0
179,134.0
180,148.0
181,169.0
182,157.0
183,165.0
184,155.0
185,160.0
186,168.0
187,155.0
188,174.0
189,149.0
190,156.0
191,167.0
192,149.0
193,148.0
194,157.0
195,170.0
196,160.0
197,163.0
198,141.0
199,158.0
200,127.0
201,151.0
202,157.0
203,151.0
204,154.0
205,152.0
206,184.0
207,138.0
208,157.0
209,144.0
210,167.0
211,179.0
212,159.0
213,182.0
214,165.0
215,151.0
216,171.0
217,153.0
218,167.0
219,171.0
220,159.0
221,154.0
222,156.0
223,154.0
224,150.0
225,152.0
226,163.0
227,174.0
228,151.0
229,149.0
230,156.0
231,170.0
232,152.0
233,150.0
234,152.0
235,167.0
236,155.0
237,154.0
238,143.0
239,147.0
240,159.0
241,151.0
242,137.0
243,162.0
244,189.0
245,145.0
246,151.0
247,161.0
248,177.0
249,165.0
250,181.0
251,145.0
252,155.0
253,149.0
254,156.0
255,172.0
256,141.0
257,170.0
258,166.0
259,145.0
260,150.0
261,164.0
262,175.0
263,139.0
264,157.0
265,154.0
266,136.0
267,160.0
268,169.0
269,149.0
270,175.0
271,160.0
272,127.0
273,148.0
274,158.0
275,138.0
276,178.0
277,134.0
278,157.0
279,180.0
280,154.0
281,147.0
282,145.0
283,146.0
284,109.0
285,148.0
286,131.0
287,164.0
288,135.0
289,160.0
290,147.0
291,156.0
292,148.0
293,164.0
294,139.0
295,163.0
296,166.0
297,172.0
298,157.0
299,171.0
300,151.0
301,175.0
302,146.0
303,157.0
304,200.0
305,173.0
306,150.0
307,171.0
308,168.0
309,143.0
310,153.0
311,158.0
312,144.0
313,160.0
314,172.0
315,160.0
316,151.0
317,152.0
318,132.0
319,179.0
320,171.0
321,188.0
322,165.0
323,152.0
324,163.0
325,153.0
326,151.0
327,183.0
328,157.0
329,173.0
330,145.0
331,150.0
332,166.0
333,185.0
334,174.0
335,165.0
336,155.0
337,146.0
338,156.0
339,151.0
340,169.0
341,150.0
342,162.0
343,150.0
344,153.0
345,148.0
346,144.0
347,156.0
348,160.0
349,147.0
350,165.0
351,170.0
352,175.0
353,138.0
354,153.0
355,140.0
356,150.0
357,147.0
358,146.0
359,148.0
360,159.0
361,163.0
362,154.0
363,157.0
364,178.0
365,165.0
366,165.0
367,137.0
368,165.0
369,178.0
370,175.0
371,165.0
372,146.0
373,155.0
374,151.0
375,167.0
376,173.0
377,163.0
378,182.0
379,166.0
380,170.0
381,176.0
382,160.0
383,157.0
384,167.0
385,180.0
386,196.0
387,160.0
388,178.0
389,199.0
390,167.0
391,167.0
392,181.0
393,147.0
394,159.0
395,148.0
396,159.0
397,156.0
398,177.0
399,169.0
400,164.0
401,176.0
402,173.0
403,206.0
404,199.0
405,147.0
406,181.0
407,166.0
408,174.0
409,163.0
410,192.0
411,202.0
412,184.0
413,185.0
414,189.0
415,190.0
416,201.0
417,187.0
418,167.0
419,169.0
